4663	-413	6565	9111	-8611	-6488	-8932	-8848	8579	6263	
5864	3793	-3686	-3691	-568	-9406	-9932	-6602	-6184	-2145	
3454	6171	-775	1327	-3380	6382	8124	8962	3420	848	
2752	8967	-3742	-6867	-4148	4790	-6617	5192	9603	-7016	
-2454	-805	-1035	5413	-2312	-6045	614	2553	2443	-357	
6150	8354	4930	6511	7046	5190	-3054	-8827	7105	6947	
-6448	6265	3136	5361	-814	8468	-1347	4193	948	-4192	
-314	7454	-7631	-8910	8712	-5479	2328	-4697	-7610	-3645	
-9443	-5506	-9648	6847	3759	-8474	-7297	-4526	8134	-139	
2256	-6925	8015	2244	4285	177	-8539	-7519	6688	-5037	
-3600	5251	-1050	-4570	-4338	-9640	-1224	-272	1162	-9501	
4773	-8772	-7661	-2670	-7516	1426	2462	6233	-8997	2463	
9694	4874	9256	8157	-9657	6597	-7328	-7937	-9850	-4798	
9457	9235	-498	-6179	5912	-2521	7137	4813	-6939	-1867	
4223	183	-4947	8843	7746	-4327	-6284	-2321	-7640	-425	
